player,phase,total_innings,high_pressure_innings,low_pressure_innings,pts,high_dismissal_rate,low_dismissal_rate,sr_delta,high_pressure_sr,low_pressure_sr,boundary_delta,high_pressure_boundary_pct,low_pressure_boundary_pct,overall_sr,overall_dismissal_rate,overall_dot_density,cluster,archetype,archetype_color
BB McCullum,PP,126,14,112,2.074,0.5,0.2411,-77.32,61.32,138.64,-0.1438,0.0784,0.2222,130.05,0.2698,0.4226,4,Pressure Vulnerable,#e74c3c
AC Gilchrist,PP,62,10,52,1.642,0.6,0.3654,-43.09,95.15,138.24,-0.0588,0.1764,0.2352,131.29,0.4032,0.4244,3,Explosive Aggressor,#3498db
GC Smith,PP,47,15,32,2.438,0.5333,0.2188,-51.05,72.36,123.41,-0.0733,0.127,0.2003,107.12,0.3191,0.4802,4,Pressure Vulnerable,#e74c3c
CH Gayle,PP,151,37,114,1.961,0.5676,0.2895,-71.24,75.69,146.93,-0.1193,0.1278,0.2472,129.47,0.3576,0.4724,4,Pressure Vulnerable,#e74c3c
ST Jayasuriya,PP,36,6,30,1.364,0.5,0.3667,-78.61,70.55,149.16,-0.1526,0.1085,0.2611,136.06,0.3889,0.4305,4,Pressure Vulnerable,#e74c3c
Mohammad Hafeez,PP,47,18,29,1.841,0.4444,0.2414,-32.41,80.38,112.79,-0.0479,0.1332,0.1811,100.37,0.3191,0.5326,1,Composed Accumulator,#2ecc71
SR Tendulkar,PP,61,8,53,3.786,0.5,0.1321,-32.28,84.88,117.16,-0.0244,0.1642,0.1886,112.93,0.1803,0.4229,0,Steady Anchor,#34495e
V Sehwag,PP,70,5,65,0.565,0.2,0.3538,-58.0,87.79,145.79,-0.1096,0.1371,0.2467,141.65,0.3429,0.3703,4,Pressure Vulnerable,#e74c3c
KC Sangakkara,PP,37,7,30,1.071,0.2857,0.2667,-47.61,70.02,117.63,-0.0754,0.1192,0.1946,108.62,0.2703,0.4528,4,Pressure Vulnerable,#e74c3c
LMP Simmons,PP,58,9,49,0.99,0.2222,0.2245,-52.99,72.85,125.84,-0.1017,0.0988,0.2005,117.62,0.2241,0.455,4,Pressure Vulnerable,#e74c3c
Tamim Iqbal,PP,52,9,43,1.76,0.7778,0.4419,-48.63,67.54,116.17,-0.0624,0.1096,0.1721,107.75,0.5,0.4556,4,Pressure Vulnerable,#e74c3c
HH Gibbs,PP,40,10,30,1.5,0.4,0.2667,-44.0,86.41,130.42,-0.0426,0.158,0.2006,119.41,0.3,0.4782,1,Composed Accumulator,#2ecc71
CO Obuya,PP,23,8,15,1.25,0.25,0.2,-57.32,82.56,139.89,-0.105,0.1238,0.2288,119.95,0.2174,0.4737,4,Pressure Vulnerable,#e74c3c
MEK Hussey,PP,53,11,42,3.182,0.4545,0.1429,-51.97,62.76,114.73,-0.0564,0.1049,0.1613,103.95,0.2075,0.4571,0,Steady Anchor,#34495e
Kamran Akmal,PP,24,12,12,1.667,0.4167,0.25,-55.28,85.17,140.45,-0.0792,0.1488,0.228,112.81,0.3333,0.5383,4,Pressure Vulnerable,#e74c3c
RV Uthappa,PP,92,12,80,2.105,0.5,0.2375,-60.44,69.53,129.97,-0.1086,0.0896,0.1982,122.08,0.2717,0.4161,4,Pressure Vulnerable,#e74c3c
ML Hayden,PP,36,9,27,0.857,0.2222,0.2593,-66.49,78.76,145.26,-0.1,0.148,0.2479,128.63,0.25,0.4454,4,Pressure Vulnerable,#e74c3c
JP Duminy,PP,21,5,16,3.2,0.2,0.0625,-32.96,78.02,110.98,-0.0669,0.1176,0.1845,103.13,0.0952,0.4849,0,Steady Anchor,#34495e
G Gambhir,PP,130,10,120,2.0,0.5,0.25,-50.71,71.92,122.63,-0.0787,0.1051,0.1839,118.73,0.2692,0.3798,4,Pressure Vulnerable,#e74c3c
AB de Villiers,PP,42,6,36,2.4,0.3333,0.1389,-20.1,106.43,126.52,0.0069,0.2032,0.1963,123.65,0.1667,0.4294,1,Composed Accumulator,#2ecc71
DPMD Jayawardene,PP,53,9,44,3.259,0.6667,0.2045,-62.12,75.42,137.54,-0.114,0.1285,0.2425,126.99,0.283,0.4314,4,Pressure Vulnerable,#e74c3c
JD Ryder,PP,35,6,29,1.859,0.8333,0.4483,-74.45,67.78,142.23,-0.0995,0.1261,0.2256,129.46,0.5143,0.4305,4,Pressure Vulnerable,#e74c3c
LJ Wright,PP,50,6,44,2.75,1.0,0.3636,-41.91,89.17,131.08,-0.0602,0.1437,0.2039,126.05,0.44,0.4217,3,Explosive Aggressor,#3498db
SC Ganguly,PP,27,7,20,3.81,0.5714,0.15,-69.3,48.91,118.21,-0.1219,0.0719,0.1938,100.24,0.2593,0.497,0,Steady Anchor,#34495e
S Dhawan,PP,203,24,179,1.865,0.4583,0.2458,-39.35,88.05,127.4,-0.0433,0.1525,0.1958,122.75,0.2709,0.4047,3,Explosive Aggressor,#3498db
SR Watson,PP,113,30,83,2.475,0.5667,0.2289,-57.77,76.02,133.79,-0.0831,0.1216,0.2048,118.46,0.3186,0.4697,4,Pressure Vulnerable,#e74c3c
PA Patel,PP,86,9,77,1.528,0.5556,0.3636,-41.89,85.37,127.25,-0.039,0.1679,0.2069,122.87,0.3837,0.4149,3,Explosive Aggressor,#3498db
WP Saha,PP,58,6,52,1.333,0.6667,0.5,-63.42,78.17,141.59,-0.1017,0.1349,0.2365,135.03,0.5172,0.393,4,Pressure Vulnerable,#e74c3c
R Dravid,PP,44,11,33,2.25,0.2727,0.1212,-40.64,77.83,118.47,-0.0665,0.1355,0.202,108.31,0.1591,0.4947,1,Composed Accumulator,#2ecc71
AM Rahane,PP,126,13,113,3.401,0.6923,0.2035,-56.82,72.01,128.84,-0.073,0.1229,0.1959,122.97,0.254,0.3982,4,Pressure Vulnerable,#e74c3c
