player,phase,total_innings,high_pressure_innings,low_pressure_innings,pts,high_dismissal_rate,low_dismissal_rate,sr_delta,high_pressure_sr,low_pressure_sr,boundary_delta,high_pressure_boundary_pct,low_pressure_boundary_pct,overall_sr,overall_dismissal_rate,overall_dot_density
BB McCullum,PP,126,14,112,2.074,0.5,0.2411,-77.32,61.32,138.64,-0.1438,0.0784,0.2222,130.05,0.2698,0.4226
SP Fleming,PP,11,3,8,0.667,0.3333,0.5,-42.68,89.12,131.8,-0.0946,0.1386,0.2332,120.16,0.4545,0.4626
AC Gilchrist,PP,62,10,52,1.642,0.6,0.3654,-43.09,95.15,138.24,-0.0588,0.1764,0.2352,131.29,0.4032,0.4244
GC Smith,PP,47,15,32,2.438,0.5333,0.2188,-51.05,72.36,123.41,-0.0733,0.127,0.2003,107.12,0.3191,0.4802
CH Gayle,PP,151,37,114,1.961,0.5676,0.2895,-71.24,75.69,146.93,-0.1193,0.1278,0.2472,129.47,0.3576,0.4724
ST Jayasuriya,PP,36,6,30,1.364,0.5,0.3667,-78.61,70.55,149.16,-0.1526,0.1085,0.2611,136.06,0.3889,0.4305
Mohammad Hafeez,PP,47,18,29,1.841,0.4444,0.2414,-32.41,80.38,112.79,-0.0479,0.1332,0.1811,100.37,0.3191,0.5326
Shoaib Malik,PP,13,5,8,1.067,0.4,0.375,-37.46,64.58,102.04,-0.0596,0.0965,0.1562,87.63,0.3846,0.5595
SR Tendulkar,PP,61,8,53,3.786,0.5,0.1321,-32.28,84.88,117.16,-0.0244,0.1642,0.1886,112.93,0.1803,0.4229
V Sehwag,PP,70,5,65,0.565,0.2,0.3538,-58.0,87.79,145.79,-0.1096,0.1371,0.2467,141.65,0.3429,0.3703
KC Sangakkara,PP,37,7,30,1.071,0.2857,0.2667,-47.61,70.02,117.63,-0.0754,0.1192,0.1946,108.62,0.2703,0.4528
S Chanderpaul,PP,12,7,5,0.714,0.4286,0.6,-58.76,72.5,131.26,-0.104,0.1081,0.2121,96.99,0.5,0.5236
LMP Simmons,PP,58,9,49,0.99,0.2222,0.2245,-52.99,72.85,125.84,-0.1017,0.0988,0.2005,117.62,0.2241,0.455
Tamim Iqbal,PP,52,9,43,1.76,0.7778,0.4419,-48.63,67.54,116.17,-0.0624,0.1096,0.1721,107.75,0.5,0.4556
Imran Nazir,PP,14,3,11,1.467,0.6667,0.4545,-78.22,72.7,150.92,-0.1502,0.1143,0.2645,134.16,0.5,0.4749
Salman Butt,PP,22,4,18,2.25,0.75,0.3333,-43.46,67.88,111.34,-0.0832,0.1009,0.1841,103.44,0.4091,0.4552
HH Gibbs,PP,40,10,30,1.5,0.4,0.2667,-44.0,86.41,130.42,-0.0426,0.158,0.2006,119.41,0.3,0.4782
CO Obuya,PP,23,8,15,1.25,0.25,0.2,-57.32,82.56,139.89,-0.105,0.1238,0.2288,119.95,0.2174,0.4737
CJ Chibhabha,PP,16,4,12,2.25,0.75,0.3333,-34.1,72.22,106.32,-0.017,0.1473,0.1643,97.8,0.4375,0.4803
MEK Hussey,PP,53,11,42,3.182,0.4545,0.1429,-51.97,62.76,114.73,-0.0564,0.1049,0.1613,103.95,0.2075,0.4571
RT Ponting,PP,11,3,8,0.889,0.3333,0.375,-15.25,84.44,99.69,-0.0245,0.1175,0.142,95.53,0.3636,0.4935
V Sibanda,PP,17,4,13,3.25,0.5,0.1538,-39.37,75.19,114.56,-0.0657,0.1193,0.185,105.29,0.2353,0.4722
KP Pietersen,PP,40,3,37,2.467,0.3333,0.1351,-47.29,89.63,136.93,-0.0277,0.1776,0.2053,133.38,0.15,0.3638
Kamran Akmal,PP,24,12,12,1.667,0.4167,0.25,-55.28,85.17,140.45,-0.0792,0.1488,0.228,112.81,0.3333,0.5383
RV Uthappa,PP,92,12,80,2.105,0.5,0.2375,-60.44,69.53,129.97,-0.1086,0.0896,0.1982,122.08,0.2717,0.4161
ML Hayden,PP,36,9,27,0.857,0.2222,0.2593,-66.49,78.76,145.26,-0.1,0.148,0.2479,128.63,0.25,0.4454
JP Duminy,PP,21,5,16,3.2,0.2,0.0625,-32.96,78.02,110.98,-0.0669,0.1176,0.1845,103.13,0.0952,0.4849
G Gambhir,PP,130,10,120,2.0,0.5,0.25,-50.71,71.92,122.63,-0.0787,0.1051,0.1839,118.73,0.2692,0.3798
AB de Villiers,PP,42,6,36,2.4,0.3333,0.1389,-20.1,106.43,126.52,0.0069,0.2032,0.1963,123.65,0.1667,0.4294
DPMD Jayawardene,PP,53,9,44,3.259,0.6667,0.2045,-62.12,75.42,137.54,-0.114,0.1285,0.2425,126.99,0.283,0.4314
JD Ryder,PP,35,6,29,1.859,0.8333,0.4483,-74.45,67.78,142.23,-0.0995,0.1261,0.2256,129.46,0.5143,0.4305
LJ Wright,PP,50,6,44,2.75,1.0,0.3636,-41.91,89.17,131.08,-0.0602,0.1437,0.2039,126.05,0.44,0.4217
LRPL Taylor,PP,13,3,10,0.0,0.0,0.2,-57.37,76.11,133.48,-0.0669,0.1444,0.2113,120.24,0.1538,0.4728
SC Ganguly,PP,27,7,20,3.81,0.5714,0.15,-69.3,48.91,118.21,-0.1219,0.0719,0.1938,100.24,0.2593,0.497
