batter,0_dots,1_dots,2_dots,3_dots,4_dots,5+_dots,balls_faced,dismissal_rate_pct
V Kohli,2.9928340592946467,2.0316027088036117,2.737226277372263,6.666666666666667,2.898550724637681,0.0,9709,2.863322690287362
RG Sharma,4.184679232232405,3.697478991596639,3.6585365853658534,5.670103092783505,0.0,3.8461538461538463,8424,4.047958214624881
DA Warner,3.2680912192494165,3.1736154324828876,3.7549407114624502,5.084745762711865,5.084745762711865,0.0,7961,3.3161663107649795
S Dhawan,3.56020942408377,3.1892274982282065,1.948051948051948,1.2048192771084338,2.941176470588235,2.5,6922,3.3082924010401618
AJ Finch,3.896386591205921,3.761061946902655,2.803738317757009,2.898550724637681,0.0,0.0,6577,3.7403071309107494
JC Buttler,3.6510194404931244,3.269069572506287,3.532608695652174,1.8867924528301887,4.651162790697675,18.181818181818183,5939,3.56962451591177
GJ Maxwell,4.704028809363043,4.829545454545454,5.343511450381679,6.756756756756757,8.695652173913043,0.0,5866,4.790317081486532
KL Rahul,3.045557513214196,2.796528447444552,2.786377708978328,2.380952380952381,6.25,0.0,5546,2.975117201586729
CH Gayle,3.692043503148254,4.060913705583756,4.0,2.127659574468085,1.2658227848101267,4.285714285714286,5463,3.7159070107999264
MS Dhoni,3.252647503782148,2.677651905252317,1.7241379310344827,4.424778761061947,0.0,0.0,5418,3.0454042081949058
SK Raina,3.7654788981551683,3.4034034034034035,4.3624161073825505,1.1494252873563218,6.666666666666667,0.0,5385,3.6954503249767874
F du Plessis,3.508771929824561,3.3472803347280333,3.3557046979865772,3.0303030303030303,3.0303030303030303,0.0,4874,3.4468608945424704
AB de Villiers,3.378565494322902,4.378698224852071,3.6585365853658534,2.5,8.0,8.333333333333332,4819,3.5899564224942933
MP Stoinis,4.004711425206125,3.870967741935484,3.0927835051546393,5.714285714285714,0.0,0.0,4767,3.922802601216698
SR Watson,4.091494845360825,3.611971104231166,4.289544235924933,7.462686567164178,2.9850746268656714,8.771929824561402,4704,4.145408163265306
SA Yadav,4.187408491947291,3.114571746384872,4.182509505703422,5.063291139240507,0.0,5.263157894736842,4701,3.9778770474367153
Q de Kock,3.901825047199497,4.281345565749235,4.746835443037975,6.730769230769231,0.0,7.4074074074074066,4642,4.093063334769496
BB McCullum,4.085603112840467,4.041450777202073,4.057971014492753,2.2556390977443606,2.2222222222222223,7.4074074074074066,4599,4.022613611654707
AM Rahane,3.840050777530943,3.3670033670033668,3.8194444444444446,4.761904761904762,7.142857142857142,17.647058823529413,4480,3.8392857142857144
DA Miller,3.7391564463057136,4.187817258883249,1.6216216216216217,2.5,6.666666666666667,0.0,4381,3.720611732481169
SE Marsh,3.082978025582158,3.4443168771526977,2.0408163265306123,2.727272727272727,6.451612903225806,0.0,4375,3.085714285714286
G Gambhir,3.0632411067193677,3.923766816143498,3.2846715328467155,3.571428571428571,6.666666666666667,9.090909090909092,4327,3.304830136353132
SV Samson,3.85502471169687,5.612244897959184,4.8,3.79746835443038,3.225806451612903,5.555555555555555,4197,4.24112461281868
KD Karthik,4.493650276782807,4.330708661417323,3.7815126050420167,2.5974025974025974,3.571428571428571,7.142857142857142,4190,4.391408114558472
RV Uthappa,4.96850944716585,1.9207683073229291,3.436426116838488,4.9504950495049505,2.941176470588235,0.0,4142,4.200869145340415
MR Marsh,3.959355290819902,2.843016069221261,3.4482758620689653,3.4090909090909087,2.7777777777777777,15.0,4039,3.738549145828175
CA Lynn,4.368575624082232,3.345280764635603,2.6615969581749046,5.154639175257731,0.0,6.896551724137931,3988,4.037111334002006
MK Pandey,3.7446504992867338,3.2765399737876804,2.5,2.272727272727273,0.0,0.0,3938,3.5043169121381412
KA Pollard,4.870245289726271,4.31266846361186,3.9215686274509802,5.47945205479452,0.0,17.647058823529413,3881,4.741046122133471
KS Williamson,3.083209509658247,3.562005277044855,3.404255319148936,0.0,7.142857142857142,0.0,3806,3.1529164477141354
SPD Smith,3.5131298793470545,2.945508100147275,1.1764705882352942,11.538461538461538,5.555555555555555,0.0,3743,3.419716804702111
SS Iyer,3.6269430051813467,3.739612188365651,3.9800995024875623,3.125,3.8461538461538463,5.263157894736842,3734,3.6689876807712904
MC Henriques,4.620938628158845,2.2658610271903323,3.5502958579881656,1.8518518518518516,0.0,0.0,3683,4.072766766223188
Babar Azam,3.033707865168539,2.694610778443114,2.9702970297029703,4.0,0.0,7.6923076923076925,3657,2.980585179108559
AT Rayudu,4.2013476020610385,3.3724340175953076,2.7777777777777777,0.0,6.666666666666667,0.0,3541,3.8689635696131033
Shubman Gill,3.297997644287397,2.8528528528528527,4.145077720207254,3.1746031746031744,8.695652173913043,0.0,3501,3.284775778349043
RR Pant,4.385964912280701,3.374233128834356,3.608247422680412,1.4925373134328357,4.3478260869565215,0.0,3458,4.077501445922498
HH Pandya,5.032206119162641,3.7094281298299845,1.7857142857142856,6.0,0.0,20.0,3372,4.6263345195729535
EJG Morgan,4.462738301559792,4.23861852433281,3.7735849056603774,1.3157894736842104,0.0,0.0,3294,4.219793564055859
MS Wade,4.698544698544699,4.3624161073825505,3.7037037037037033,3.7735849056603774,0.0,0.0,3239,4.538437789441185
JP Duminy,2.871621621621622,1.9607843137254901,2.5510204081632653,5.0,4.3478260869565215,0.0,3214,2.7380211574362168
N Pooran,4.6902654867256635,4.0625,5.181347150259067,8.21917808219178,0.0,0.0,3204,4.619225967540574
AD Hales,4.215775158658205,5.196850393700787,1.8779342723004695,1.4925373134328357,4.0,15.384615384615385,3159,4.241848686293131
S Mandhana,3.9878849066128215,3.0054644808743167,4.330708661417323,4.2105263157894735,0.0,3.7037037037037033,3128,3.7404092071611252
DJM Short,3.715745471435207,3.6392405063291138,2.380952380952381,1.1494252873563218,3.571428571428571,0.0,3126,3.5188739603326935
JH Kallis,3.7236648701616852,2.318840579710145,3.7037037037037033,2.380952380952381,3.7037037037037033,0.0,3098,3.357004519044545
Yuvraj Singh,4.736328125,4.636785162287481,4.184100418410042,4.761904761904762,7.6923076923076925,0.0,3065,4.66557911908646
MJ Guptill,4.301075268817205,4.314329738058552,3.418803418803419,3.3707865168539324,3.8461538461538463,7.142857142857142,3058,4.2184434270765205
RA Jadeja,4.229607250755287,4.28849902534113,2.4193548387096775,0.0,0.0,0.0,3028,4.062087186261558
SW Bates,3.428571428571429,3.2710280373831773,1.7316017316017316,2.1505376344086025,0.0,8.333333333333332,2938,3.1994554118447924
Mohammad Rizwan,2.28898426323319,2.987697715289982,1.7241379310344827,3.7037037037037033,0.0,0.0,2931,2.3882633913340157
CL White,3.3625730994152043,4.623287671232877,5.208333333333334,7.017543859649122,5.263157894736842,7.6923076923076925,2917,3.839561193006513
Ishan Kishan,4.190086867654573,5.079365079365079,3.1413612565445024,2.4390243902439024,3.3333333333333335,0.0,2906,4.232622161046112
DJ Bravo,5.0608272506082725,4.5787545787545785,4.142011834319527,0.0,0.0,0.0,2873,4.733727810650888
DPMD Jayawardene,3.5366478728856996,3.767123287671233,3.684210526315789,2.8169014084507045,4.761904761904762,9.090909090909092,2828,3.606789250353607
