batter,low_pressure_rate,high_pressure_rate,pressure_increase,balls_faced
A Aikenhead,4.979253112033195,0.0,-4.979253112033195,285
A Aitken-Drummond,6.395348837209303,0.0,-6.395348837209303,207
A Akhigbe,5.376344086021505,7.142857142857142,1.7665130568356373,125
A Argyropoulou,4.361370716510903,6.0606060606060606,1.6992353440951575,388
A Ashish Reddy,6.989247311827956,0.0,-6.989247311827956,196
A Ashokan,2.9723991507431,0.0,-2.9723991507431,525
A Athanaze,5.3097345132743365,7.142857142857142,1.8331226295828058,263
A Augastin,5.0,0.0,-5.0,166
A Badoni,4.3478260869565215,6.666666666666667,2.3188405797101455,740
A Bagai,1.342281879194631,0.0,-1.342281879194631,157
A Balbirnie,5.06155950752394,5.194805194805195,0.13324568728125463,1682
A Beresford-Peirse,6.185567010309279,5.555555555555555,-0.6300114547537232,128
A Bierwisch,2.9787234042553195,2.2222222222222223,-0.7565011820330971,310
A Bosch,3.708791208791209,2.2222222222222223,-1.4865689865689866,845
A Brindle,3.292181069958848,0.0,-3.292181069958848,266
A Capsey,4.912280701754386,3.571428571428571,-1.340852130325815,655
A Chandel,3.2751091703056767,2.2222222222222223,-1.0528869480834544,569
A Chilia,2.857142857142857,8.695652173913043,5.838509316770185,232
A Davidson Soler,4.0650406504065035,0.0,-4.0650406504065035,130
A Davidson-Soler,2.1739130434782608,12.5,10.326086956521738,155
A Dercksen,5.9880239520958085,0.0,-5.9880239520958085,189
A Dirannehelage,1.3274336283185841,0.0,-1.3274336283185841,255
A Dizija,4.103671706263499,6.976744186046512,2.873072479783013,559
A Doddaballapur,2.525252525252525,4.081632653061225,1.5563801278086995,486
A Donovan,2.380952380952381,20.0,17.61904761904762,226
A Dutt,4.761904761904762,0.0,-4.761904761904762,117
A Ferguson,3.015075376884422,0.0,-3.015075376884422,478
A Flintoff,5.813953488372093,0.0,-5.813953488372093,180
A Fujikawa,2.380952380952381,0.0,-2.380952380952381,109
A Galan,7.6923076923076925,8.108108108108109,0.41580041580041627,163
A Gardner,4.709418837675351,6.779661016949152,2.0702421792738015,1137
A Gbla,6.007067137809187,6.25,0.24293286219081267,322
A Halbhavi,5.649717514124294,14.285714285714285,8.63599677158999,204
A Hartley,1.5706806282722512,7.6923076923076925,6.121627064035441,215
A Hunter,3.345070422535211,0.0,-3.345070422535211,1286
A Igbobie,2.5316455696202533,0.0,-2.5316455696202533,121
A Ikuzwe,4.316546762589928,0.0,-4.316546762589928,505
A Johnson,3.7383177570093453,7.142857142857142,3.404539385847797,645
A Kainessie,5.517241379310345,0.0,-5.517241379310345,171
A Kano,4.815864022662889,3.7037037037037033,-1.1121603189591855,420
A Kanukuntla,4.032258064516129,0.0,-4.032258064516129,182
A Kato-Stafford,0.9900990099009901,4.761904761904762,3.7718057520037718,139
A Kheterpal,4.201680672268908,0.0,-4.201680672268908,261
A Kirschbaum,6.995884773662551,0.0,-6.995884773662551,291
A Kohli,5.46875,12.5,7.03125,154
A Kolan,2.112676056338028,10.0,7.887323943661972,344
